Date;Close;Open;High;Low;Volume;Variation %
27/08/2020;12.5;12.5;12.55;12.1;320730;0.00%
26/08/2020;12.5;12.5;12.5;12.5;660130;0.00%
25/08/2020;12.5;12.5;12.55;12.05;187520;0.00%
24/08/2020;12.5;12.5;12.5;12.5;1630000;0.00%
21/08/2020;12.5;12.6;12.5;12.5;824810;-0.79%
20/08/2020;12.6;12.6;12.45;12.05;85890;0.00%
19/08/2020;12.6;12.6;12.75;12.1;213570;0.00%
18/08/2020;12.6;12.3;12.6;12.6;1790000;2.44%
17/08/2020;12.3;11.9;12.3;12.3;978240;3.36%
14/08/2020;11.9;11.9;12.3;11.9;324130;0.00%
13/08/2020;11.9;11.9;12.3;11.9;285000;0.00%
12/08/2020;11.9;11.9;11.9;11.9;1580000;0.00%
11/08/2020;11.9;11.9;12.3;12;263100;0.00%
10/08/2020;11.9;11.9;12.3;11.9;306590;0.00%
07/08/2020;11.9;11.5;11.9;11.9;422900;3.48%
06/08/2020;11.5;11.5;12.35;11.6;211000;0.00%
05/08/2020;11.5;11.5;12.35;11.65;289680;0.00%
04/08/2020;11.5;11.5;12.5;11.5;241830;0.00%
03/08/2020;11.5;11.95;12;11.5;1140000;-3.77%
29/07/2020;11.95;11.95;12.4;11.5;357820;0.00%
28/07/2020;11.95;11.9;11.95;11.95;491380;0.42%
27/07/2020;11.9;11.9;12.4;11.9;60880;0.00%
24/07/2020;11.9;11.7;11.9;11.9;553760;1.71%
23/07/2020;11.7;12;11.7;11.7;492670;-2.50%
22/07/2020;12;12;12.5;11.7;203900;0.00%
21/07/2020;12;12;12.4;11.85;167730;0.00%
20/07/2020;12;12;12.5;11.85;139180;0.00%
17/07/2020;12;12.2;12;12;904830;-1.64%
16/07/2020;12.2;12.2;12.4;12.2;214480;0.00%
15/07/2020;12.2;11.6;12.4;12.2;664520;5.17%
14/07/2020;11.6;11.6;12.35;11.65;123140;0.00%
13/07/2020;11.6;11.6;12.45;11.6;448180;0.00%
10/07/2020;11.6;11.5;11.6;11.6;411330;0.87%
09/07/2020;11.5;11.6;11.5;11.5;1050000;-0.86%
08/07/2020;11.6;11.7;11.6;11.6;774180;-0.85%
07/07/2020;11.7;11.7;12.4;11.55;351830;0.00%
06/07/2020;11.7;11.7;12;11.5;145450;0.00%
03/07/2020;11.7;11.7;11.9;11.55;511050;0.00%
02/07/2020;11.7;11.7;12.4;11.2;172600;0.00%
01/07/2020;11.7;12;11.7;11.7;972340;-2.50%
30/06/2020;12;12;12;11;286260;0.00%
29/06/2020;12;11.9;12;12;929350;0.84%
26/06/2020;11.9;11.9;12;11.6;400580;0.00%
25/06/2020;11.9;11.9;11.9;11.9;1610000;0.00%
24/06/2020;11.9;11.9;12;11.9;2300000;0.00%
23/06/2020;11.9;13.2;12.5;11.9;4990000;-9.85%
22/06/2020;13.2;13.2;14.3;12.1;366900;-7.69%
19/06/2020;14.3;14.5;14.4;14.3;1190000;-1.38%
18/06/2020;14.5;14.5;14.5;14.5;580970;0.00%
17/06/2020;14.5;14.8;14.55;14.25;2250000;-2.03%
16/06/2020;14.8;14.8;14.8;14.1;753640;0.00%
15/06/2020;14.8;14.8;15;14.75;3490000;0.00%
11/06/2020;14.8;14.8;14.9;14.5;1110000;0.00%
10/06/2020;14.8;14.95;15;14.8;3540000;-1.00%
09/06/2020;14.95;14.55;14.95;14.95;1050000;2.75%
08/06/2020;14.55;14.95;14.95;14.45;5670000;-2.68%
05/06/2020;14.95;15;14.95;14.2;3140000;-0.33%
04/06/2020;15;14.05;15;14;6170000;6.76%
03/06/2020;14.05;14.05;14.7;14.05;1900000;0.00%
02/06/2020;14.05;14.15;14.8;14.05;5530000;-0.71%
01/06/2020;14.15;12.8;14.15;12.8;2350000;9.69%
29/05/2020;12.9;14;13;12.8;1040000;-7.86%
28/05/2020;14;14;14.05;14;1860000;0.00%
27/05/2020;14;12.8;14.05;13.9;2070000;9.37%
22/05/2020;12.8;12.8;13.3;12.8;217000;0.00%
21/05/2020;12.8;12.85;12.8;12.8;1330000;-0.39%
20/05/2020;12.85;12.8;12.85;12.8;1910000;0.39%
19/05/2020;12.8;12.8;13;12.65;267400;0.00%
18/05/2020;12.8;12.8;13;12.5;137390;0.00%
15/05/2020;12.8;12.8;12.8;12.1;57140;0.00%
14/05/2020;12.8;12.8;12.8;12.5;105070;0.00%
13/05/2020;12.8;12.8;12.8;12.5;97370;0.00%
12/05/2020;12.8;12.8;13.1;11.9;339330;0.00%
11/05/2020;12.8;12.8;13.8;12.2;278650;0.00%
08/05/2020;12.8;12.8;13;12.55;333270;0.00%
07/05/2020;12.8;12.8;13;12.55;220130;0.00%
06/05/2020;12.8;12.8;12.8;12.8;856070;0.00%
05/05/2020;12.8;12.8;12.8;12.65;237770;0.00%
04/05/2020;12.8;12.45;12.8;12.8;384950;2.81%
30/04/2020;12.45;12.45;12.8;12.5;217290;0.00%
29/04/2020;12.45;12.45;12.45;12.45;1010000;0.00%
28/04/2020;12.45;12;12.45;12.45;520540;3.75%
